rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date,display
71.0,North Macedonia,MKD,1348.63,1354.19,2,UEFA,2024-06-20,🇲🇰 North Macedonia
73.0,Northern Ireland,NIR,1341.33,1341.05,0,UEFA,2024-06-20,🇬🇧 Northern Ireland
46.0,Norway,NOR,1466.48,1467.51,-1,UEFA,2024-06-20,🇳🇴 Norway
76.0,Oman,OMA,1326.18,1323.23,-1,AFC,2024-06-20,🇴🇲 Oman
197.0,Pakistan,PAK,842.59,849.94,2,AFC,2024-06-20,🇵🇰 Pakistan
95.0,Palestine,PLE,1231.25,1238.66,2,AFC,2024-06-20,🇵🇸 Palestine
43.0,Panama,PAN,1482.1,1475.62,-2,CONCACAF,2024-06-20,🇵🇦 Panama
165.0,Papua New Guinea,PNG,985.32,985.32,-1,OFC,2024-06-20,🇵🇬 Papua New Guinea
58.0,Paraguay,PAR,1427.11,1430.73,2,CONMEBOL,2024-06-20,🇵🇾 Paraguay
31.0,Peru,PER,1515.01,1515.82,-1,CONMEBOL,2024-06-20,🇵🇪 Peru
147.0,Philippines,PHI,1053.03,1075.14,6,AFC,2024-06-20,🇵🇭 Philippines
26.0,Poland,POL,1541.49,1531.49,-2,UEFA,2024-06-20,🇵🇱 Poland
6.0,Portugal,POR,1747.04,1748.11,0,UEFA,2024-06-20,🇵🇹 Portugal
156.0,Puerto Rico,PUR,1020.22,1006.35,-4,CONCACAF,2024-06-20,🇵🇷 Puerto Rico
35.0,Qatar,QAT,1504.06,1507.94,1,AFC,2024-06-20,🇶🇦 Qatar
60.0,Republic of Ireland,IRL,1403.84,1399.74,0,UEFA,2024-06-20,🇮🇪 Ireland
47.0,Romania,ROU,1462.35,1468.17,1,UEFA,2024-06-20,🇷🇴 Romania
33.0,Russia,RUS,1506.58,1504.02,-2,UEFA,2024-06-20,🇷🇺 Russia
131.0,Rwanda,RWA,1114.15,1112.44,0,CAF,2024-06-20,🇷🇼 Rwanda
181.0,Samoa,SAM,920.54,920.54,0,OFC,2024-06-20,🇼🇸 Samoa
210.0,San Marino,SMR,739.64,742.05,0,UEFA,2024-06-20,🇸🇲 San Marino
192.0,Sao Tome and Principe,STP,878.09,893.58,4,CAF,2024-06-20,🇸🇹 São Tomé and Príncipe
56.0,Saudi Arabia,KSA,1431.3,1443.53,3,AFC,2024-06-20,🇸🇦 Saudi Arabia
39.0,Scotland,SCO,1497.18,1497.46,0,UEFA,2024-06-20,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland
18.0,Senegal,SEN,1623.34,1624.73,1,CAF,2024-06-20,🇸🇳 Senegal
32.0,Serbia,SRB,1514.76,1514.2,-1,UEFA,2024-06-20,🇷🇸 Serbia
201.0,Seychelles,SEY,831.96,845.53,4,CAF,2024-06-20,🇸🇨 Seychelles
122.0,Sierra Leone,SLE,1149.4,1137.36,-4,CAF,2024-06-20,🇸🇱 Sierra Leone
159.0,Singapore,SGP,1008.26,1019.06,4,AFC,2024-06-20,🇸🇬 Singapore
45.0,Slovakia,SVK,1467.77,1461.55,-3,UEFA,2024-06-20,🇸🇰 Slovakia
57.0,Slovenia,SVN,1429.74,1427.84,0,UEFA,2024-06-20,🇸🇮 Slovenia
133.0,Solomon Islands,SOL,1111.02,1111.02,1,OFC,2024-06-20,🇸🇧 Solomon Islands
202.0,Somalia,SOM,829.81,842.64,3,CAF,2024-06-20,🇸🇴 Somalia
59.0,South Africa,RSA,1416.66,1407.67,0,CAF,2024-06-20,🇿🇦 South Africa
167.0,South Sudan,SSD,980.02,984.65,0,CAF,2024-06-20,🇸🇸 South Sudan
8.0,Spain,ESP,1729.92,1727.5,0,UEFA,2024-06-20,🇪🇸 Spain
205.0,Sri Lanka,SRI,820.32,829.41,1,AFC,2024-06-20,🇱🇰 Sri Lanka
146.0,St Kitts and Nevis,SKN,1059.53,1056.61,-1,CONCACAF,2024-06-20,🇰🇳 Saint Kitts and Nevis
168.0,St Lucia,LCA,979.57,988.67,3,CONCACAF,2024-06-20,🇱🇨 Saint Lucia
174.0,St Vincent and the Grenadines,VIN,938.4,953.47,1,CONCACAF,2024-06-20,🇻🇨 Saint Vincent and the Grenadines
121.0,Sudan,SDN,1152.29,1129.32,-6,CAF,2024-06-20,🇸🇩 Sudan
141.0,Suriname,SUR,1087.77,1071.85,-3,CONCACAF,2024-06-20,🇸🇷 Suriname
28.0,Sweden,SWE,1522.19,1531.68,1,UEFA,2024-06-20,🇸🇪 Sweden
